Pa’s	year	PIB - million dolars
Argentina	1990	204022,7
Argentina	1991	225605,8
Argentina	1992	247277,6
Argentina	1993	261428,7
Argentina	1994	276686,2
Argentina	1995	268813,9
Argentina	1996	283670,4
Argentina	1997	306679,0
Argentina	1998	318486,7
Argentina	1999	307704,5
Argentina	2000	305276,7
Argentina	2001	291817,5
Argentina	2002	260025,5
Argentina	2003	283004,1
Argentina	2004	308558,1
Argentina	2005	335870,7
Argentina	2006	362898,7
Argentina	2007	395587,3
Argentina	2008	411637,2
Argentina	2009	387274,4
Argentina	2010	426487,4
Argentina	2011	452093,5
Argentina	2012	447453,2
Argentina	2013	458215,9
Argentina	2014	446702,6
Argentina	2015	458902,8
Argentina	2016	449356,1
Argentina	2017	462021,2
Argentina	2018	450168,8
Argentina	2019	440769,2
Bolivia (Estado Plurinacional de)	1990	9312,5
Bolivia (Estado Plurinacional de)	1991	9802,9
Bolivia (Estado Plurinacional de)	1992	9964,3
Bolivia (Estado Plurinacional de)	1993	10389,7
Bolivia (Estado Plurinacional de)	1994	10874,6
Bolivia (Estado Plurinacional de)	1995	11383,4
Bolivia (Estado Plurinacional de)	1996	11879,9
Bolivia (Estado Plurinacional de)	1997	12468,4
Bolivia (Estado Plurinacional de)	1998	13095,5
Bolivia (Estado Plurinacional de)	1999	13151,4
Bolivia (Estado Plurinacional de)	2000	13481,2
Bolivia (Estado Plurinacional de)	2001	13708,2
Bolivia (Estado Plurinacional de)	2002	14048,9
Bolivia (Estado Plurinacional de)	2003	14429,8
Bolivia (Estado Plurinacional de)	2004	15032,0
Bolivia (Estado Plurinacional de)	2005	15696,7
Bolivia (Estado Plurinacional de)	2006	16449,7
Bolivia (Estado Plurinacional de)	2007	17200,5
Bolivia (Estado Plurinacional de)	2008	18258,0
Bolivia (Estado Plurinacional de)	2009	18871,0
Bolivia (Estado Plurinacional de)	2010	19649,7
Bolivia (Estado Plurinacional de)	2011	20672,3
Bolivia (Estado Plurinacional de)	2012	21731,2
Bolivia (Estado Plurinacional de)	2013	23208,1
Bolivia (Estado Plurinacional de)	2014	24475,4
Bolivia (Estado Plurinacional de)	2015	25664,2
Bolivia (Estado Plurinacional de)	2016	26758,5
Bolivia (Estado Plurinacional de)	2017	27881,0
Bolivia (Estado Plurinacional de)	2018	29058,6
Bolivia (Estado Plurinacional de)	2019	29702,8
Brasil	1990	1190328,8
Brasil	1991	1202589,2
Brasil	1992	1196095,2
Brasil	1993	1254943,1
Brasil	1994	1328357,2
Brasil	1995	1384413,9
Brasil	1996	1414185,7
Brasil	1997	1462195,2
Brasil	1998	1467138,8
Brasil	1999	1474004,1
Brasil	2000	1538682,7
Brasil	2001	1560068,8
Brasil	2002	1607704,9
Brasil	2003	1626046,0
Brasil	2004	1719705,7
Brasil	2005	1774772,9
Brasil	2006	1845089,2
Brasil	2007	1957083,8
Brasil	2008	2056781,4
Brasil	2009	2054193,8
Brasil	2010	2208838,1
Brasil	2011	2296626,7
Brasil	2012	2340748,9
Brasil	2013	2411084,3
Brasil	2014	2423235,1
Brasil	2015	2337312,9
Brasil	2016	2260744,5
Brasil	2017	2290651,2
Brasil	2018	2320824,2
Brasil	2019	2347202,3
Chile	1990	75463,4
Chile	1991	81477,7
Chile	1992	91481,6
Chile	1993	97872,7
Chile	1994	103459,4
Chile	1995	114454,7
Chile	1996	122939,8
Chile	1997	132071,6
Chile	1998	137783,1
Chile	1999	137215,3
Chile	2000	144524,7
Chile	2001	149298,4
Chile	2002	153937,1
Chile	2003	160234,7
Chile	2004	171786,9
Chile	2005	181652,3
Chile	2006	193127,6
Chile	2007	202601,2
Chile	2008	209752,1
Chile	2009	206471,0
Chile	2010	218537,6
Chile	2011	231892,2
Chile	2012	244225,7
Chile	2013	254104,6
Chile	2014	258594,0
Chile	2015	264551,4
Chile	2016	269078,1
Chile	2017	272276,3
Chile	2018	283029,4
Chile	2019	286013,8
Colombia	1990	147562,1
Colombia	1991	151062,2
Colombia	1992	157638,3
Colombia	1993	166639,7
Colombia	1994	175217,2
Colombia	1995	184332,8
Colombia	1996	188122,4
Colombia	1997	194575,6
Colombia	1998	195684,2
Colombia	1999	187457,6
Colombia	2000	192940,5
Colombia	2001	196177,9
Colombia	2002	201090,1
Colombia	2003	208969,4
Colombia	2004	220113,8
Colombia	2005	230473,5
Colombia	2006	245954,2
Colombia	2007	262527,0
Colombia	2008	271147,0
Colombia	2009	274237,1
Colombia	2010	286563,1
Colombia	2011	306473,2
