Pais;year;Total
Argentina;1990;4333,482973
Argentina;1991;5735,360327
Argentina;1992;6823,537616
Argentina;1993;6969,118088
Argentina;1994;7483,139682
Argentina;1995;7408,708238
Argentina;1996;7721,354543
Argentina;1997;8213,1272
Argentina;1998;8289,505729
Argentina;1999;7774,736203
Argentina;2000;7708,100996
Argentina;2001;7208,371567
Argentina;2002;2593,40415
Argentina;2003;3349,806124
Argentina;2004;4277,721351
Argentina;2005;5109,851325
Argentina;2006;5919,012037
Argentina;2007;7245,448317
Argentina;2008;9020,873098
Argentina;2009;8225,137176
Argentina;2010;10385,96443
Argentina;2011;12848,8642
Argentina;2012;13082,66433
Argentina;2013;13080,25473
Argentina;2014;12334,79825
Argentina;2015;13789,06042
Argentina;2016;12790,24247
Argentina;2017;14591,86338
Argentina;2018;11683,94962
Argentina;2019;10006,14897
Bolivia;1990;709,0596725
Bolivia;1991;762,0780331
Bolivia;1992;788,1519898
Bolivia;1993;784,1917393
Bolivia;1994;801,0460297
Bolivia;1995;880,992224
Bolivia;1996;950,8565084
Bolivia;1997;998,5153242
Bolivia;1998;1049,499374
Bolivia;1999;1003,392231
Bolivia;2000;997,5824599
Bolivia;2001;948,8712066
Bolivia;2002;904,2266273
Bolivia;2003;907,5371101
Bolivia;2004;967,406992
Bolivia;2005;1034,31124
Bolivia;2006;1218,874459
Bolivia;2007;1372,628225
Bolivia;2008;1715,208922
Bolivia;2009;1754,211061
Bolivia;2010;1955,461557
Bolivia;2011;2346,33717
Bolivia;2012;2609,880819
Bolivia;2013;2908,200085
Bolivia;2014;3081,878834
Bolivia;2015;3035,972215
Bolivia;2016;3076,658949
Bolivia;2017;3351,12404
Bolivia;2018;3548,590153
Bolivia;2019;3552,068762
Brasil;1990;3100,280468
Brasil;1991;3975,390089
Brasil;1992;2596,919876
Brasil;1993;2791,209124
Brasil;1994;3500,61149
Brasil;1995;4748,215529
Brasil;1996;5166,163745
Brasil;1997;5282,008828
Brasil;1998;5087,152221
Brasil;1999;3478,37273
Brasil;2000;3749,75325
Brasil;2001;3156,798718
Brasil;2002;2829,283192
Brasil;2003;3070,910491
Brasil;2004;3637,462389
Brasil;2005;4790,437088
Brasil;2006;5886,463588
Brasil;2007;7348,030794
Brasil;2008;8831,023117
Brasil;2009;8597,915352
Brasil;2010;11286,24302
Brasil;2011;13245,6125
Brasil;2012;12370,0242
Brasil;2013;12300,32488
Brasil;2014;12112,58821
Brasil;2015;8814,000987
Brasil;2016;8710,09669
Brasil;2017;9925,386238
Brasil;2018;9001,234249
Brasil;2019;8717,186278
Chile;1990;2494,525669
Chile;1991;2803,56209
Chile;1992;3350,213845
Chile;1993;3535,1736
Chile;1994;4024,216932
Chile;1995;5107,276802
Chile;1996;5349,804127
Chile;1997;5745,373795
Chile;1998;5446,580613
Chile;1999;4957,777884
Chile;2000;5074,901624
Chile;2001;4574,594421
Chile;2002;4446,250505
Chile;2003;4772,56282
Chile;2004;6194,853107
Chile;2005;7598,525121
Chile;2006;9464,550243
Chile;2007;10502,35452
Chile;2008;10751,47967
Chile;2009;10208,90676
Chile;2010;12808,03459
Chile;2011;14637,24024
Chile;2012;15351,55133
Chile;2013;15842,94081
Chile;2014;14670,99676
Chile;2015;13574,17183
Chile;2016;13753,59444
Chile;2017;14999,37009
Chile;2018;15924,79424
Chile;2019;14896,45387
Colombia;1990;1445,328368
Colombia;1991;1456,693969
Colombia;1992;1697,112887
Colombia;1993;1893,54205
Colombia;1994;2284,838749
Colombia;1995;2539,912877
Colombia;1996;2620,538762
Colombia;1997;2827,379752
Colombia;1998;2566,02406
Colombia;1999;2209,93148
Colombia;2000;2520,480898
Colombia;2001;2439,681836
Colombia;2002;2396,627274
Colombia;2003;2281,40196
Colombia;2004;2782,62305
Colombia;2005;3414,465833
Colombia;2006;3741,093171
Colombia;2007;4714,072541
Colombia;2008;5472,536133
Colombia;2009;5193,241451
Colombia;2010;6336,709214
Colombia;2011;7335,11051
Colombia;2012;8050,058414
Colombia;2013;8218,033996
Colombia;2014;8114,084069
Colombia;2015;6175,876132
Colombia;2016;5871,223575
Colombia;2017;6377,851363
Colombia;2018;6718,585324
Colombia;2019;6432,387583
Ecuador;1990;1489,529509
Ecuador;1991;1622,208243
Ecuador;1992;1688,505067
Ecuador;1993;1727,754058
Ecuador;1994;2026,112715
Ecuador;1995;2132,906969
Ecuador;1996;2155,517229
Ecuador;1997;2356,370843
Ecuador;1998;2293,889735
Ecuador;1999;1578,933536
Ecuador;2000;1445,279324
Ecuador;2001;1894,615169
Ecuador;2002;2172,101877
Ecuador;2003;2425,851842
Ecuador;2004;2691,278081
Ecuador;2005;3002,136867
Ecuador;2006;3328,882972
Ecuador;2007;3567,836438
Ecuador;2008;4249,019262
Ecuador;2009;4231,615798
Ecuador;2010;4633,590358
Ecuador;2011;5200,55579
Ecuador;2012;5682,045007
Ecuador;2013;6056,330827
Ecuador;2014;6377,09153
Ecuador;2015;6124,491643
Ecuador;2016;6060,093329
Ecuador;2017;6213,501276
Ecuador;2018;6295,935399
Ecuador;2019;6183,823825
Guyana;1990;533,5362054
Guyana;1991;468,1601974
Guyana;1992;499,0277096
Guyana;1993;602,1414776
Guyana;1994;712,7128542
Guyana;1995;816,5429329
Guyana;1996;927,1958956
Guyana;1997;988,3478364
Guyana;1998;951,9124771
Guyana;1999;926,7428086
Guyana;2000;954,4041525
Guyana;2001;955,6653806
Guyana;2002;974,9491933
Guyana;2003;997,2100346
Guyana;2004;1056,423886
Guyana;2005;1105,496454
Guyana;2006;1954,133308
Guyana;2007;2331,200342
Guyana;2008;2566,887085
Guyana;2009;2756,819889
Guyana;2010;3033,247725
Guyana;2011;3425,436441
Guyana;2012;3788,146749
Guyana;2013;3934,865262
Guyana;2014;4031,600662
Guyana;2015;4166,128516
Guyana;2016;4542,622067
Guyana;2017;4586,054572
Guyana;2018;4979,002188
Guyana;2019;5468,356629
Paraguay;1990;1376,164673
Paraguay;1991;1611,400976
Paraguay;1992;1610,213334
Paraguay;1993;1591,37311
Paraguay;1994;1686,846001
Paraguay;1995;1897,096362
Paraguay;1996;2002,685918
Paraguay;1997;1993,802781
Paraguay;1998;1812,994022
Paraguay;1999;1694,110236
Paraguay;2000;1663,605252
Paraguay;2001;1565,053712
Paraguay;2002;1300,851426
Paraguay;2003;1365,416418
Paraguay;2004;1679,497171
Paraguay;2005;1843,633791
Paraguay;2006;2271,090038
Paraguay;2007;2976,825503
Paraguay;2008;4041,583876
Paraguay;2009;3624,571058
Paraguay;2010;4355,934939
Paraguay;2011;5322,96376
Paraguay;2012;5183,082877
Paraguay;2013;5926,832863
Paraguay;2014;6102,943233
Paraguay;2015;5406,703857
Paraguay;2016;5319,410218
Paraguay;2017;5680,580768
Paraguay;2018;5805,675616
Paraguay;2019;5414,799138
Peru;1990;1196,586858
Peru;1991;1524,770874
Peru;1992;1566,011552
Peru;1993;1488,033249
Peru;1994;1881,737119
Peru;1995;2194,01797
Peru;1996;2232,075906
Peru;1997;2306,438801
Peru;1998;2163,120031
Peru;1999;1924,486567
Peru;2000;1955,588006
Peru;2001;1941,475632
Peru;2002;2021,23974
Peru;2003;2145,643183
Peru;2004;2417,035501
Peru;2005;2729,498682
Peru;2006;3154,331237
Peru;2007;3606,070435
Peru;2008;4220,616969
Peru;2009;4196,312793
Peru;2010;5082,354757
Peru;2011;5869,32308
Peru;2012;6528,972218
Peru;2013;6756,752769
Peru;2014;6672,880255
Peru;2015;6229,101696
Peru;2016;6204,99726
Peru;2017;6710,508029
Peru;2018;6941,235848
Peru;2019;6977,695784
Suriname;1990;958,6146981
Suriname;1991;1084,974758
Suriname;1992;961,8333314
Suriname;1993;1001,716482
Suriname;1994;1391,600964
Suriname;1995;1565,212023
Suriname;1996;1921,879712
Suriname;1997;2039,854809
Suriname;1998;2415,77884
Suriname;1999;1904,424719
Suriname;2000;2012,260287
Suriname;2001;1750,558371
Suriname;2002;2267,721066
Suriname;2003;2611,356086
Suriname;2004;3006,189322
Suriname;2005;3590,626616
Suriname;2006;5197,717047
Suriname;2007;5744,759727
Suriname;2008;6831,970411
Suriname;2009;7408,389111
Suriname;2010;8255,796859
Suriname;2011;8263,172923
Suriname;2012;9201,008785
Suriname;2013;9402,233137
Suriname;2014;9472,0076
Suriname;2015;8561,974179
Suriname;2016;5539,068872
Suriname;2017;5626,795816
Suriname;2018;6003,723066
Suriname;2019;6854,906561
Trinidad y Tobago;1990;4150,301855
Trinidad y Tobago;1991;4318,519996
Trinidad y Tobago;1992;4398,502236
Trinidad y Tobago;1993;3754,76716
Trinidad y Tobago;1994;3959,285053
Trinidad y Tobago;1995;4249,094373
Trinidad y Tobago;1996;4579,970821
Trinidad y Tobago;1997;4554,320308
Trinidad y Tobago;1998;4790,138924
Trinidad y Tobago;1999;5387,138813
Trinidad y Tobago;2000;6435,164683
Trinidad y Tobago;2001;6939,801184
Trinidad y Tobago;2002;7053,070804
Trinidad y Tobago;2003;8807,900379
Trinidad y Tobago;2004;10293,80541
Trinidad y Tobago;2005;12327,23317
Trinidad y Tobago;2006;14102,49585
Trinidad y Tobago;2007;16539,87811
Trinidad y Tobago;2008;21204,10497
Trinidad y Tobago;2009;14514,14172
Trinidad y Tobago;2010;16683,35538
Trinidad y Tobago;2011;19034,1492
Trinidad y Tobago;2012;19157,41704
Trinidad y Tobago;2013;20143,66445
Trinidad y Tobago;2014;20270,85937
Trinidad y Tobago;2015;18289,70434
Trinidad y Tobago;2016;16176,94737
Trinidad y Tobago;2017;16238,19319
Trinidad y Tobago;2018;17129,91309
Trinidad y Tobago;2019;17276,46545
Uruguay;1990;2990,364248
Uruguay;1991;3578,284729
Uruguay;1992;4082,531892
Uruguay;1993;4720,991306
Uruguay;1994;5458,86395
Uruguay;1995;5985,105857
Uruguay;1996;6317,565767
Uruguay;1997;7329,853491
Uruguay;1998;7713,618771
Uruguay;1999;7250,259428
Uruguay;2000;6875,021328
Uruguay;2001;6284,4559
Uruguay;2002;4090,899267
Uruguay;2003;3624,198052
Uruguay;2004;4120,556611
Uruguay;2005;5226,937806
Uruguay;2006;5887,848703
Uruguay;2007;7026,511491
Uruguay;2008;9091,079039
Uruguay;2009;9451,932449
Uruguay;2010;11992,01663
Uruguay;2011;14236,68119
Uruguay;2012;15171,58466
Uruguay;2013;16973,67421
Uruguay;2014;16831,97294
Uruguay;2015;15613,76427
Uruguay;2016;15387,14403
Uruguay;2017;17322,14739
Uruguay;2018;17277,97011
Uruguay;2019;16190,12696
Venezuela;1990;2475,380473
Venezuela;1991;2661,033454
Venezuela;1992;2938,161769
Venezuela;1993;2857,938524
Venezuela;1994;2720,367569
Venezuela;1995;3529,589611
Venezuela;1996;3151,269278
Venezuela;1997;3758,844934
Venezuela;1998;3921,718979
Venezuela;1999;4127,107938
Venezuela;2000;4842,037202
Venezuela;2001;4986,675586
Venezuela;2002;3700,879593
Venezuela;2003;3272,615024
Venezuela;2004;4325,696756
Venezuela;2005;5504,976824
Venezuela;2006;6833,377894
Venezuela;2007;8454,466743
Venezuela;2008;11432,74386
Venezuela;2009;11765,10018
Venezuela;2010;13825,35809
Venezuela;2011;10955,34991
Venezuela;2012;12985,50533
Venezuela;2013;12456,71245
Venezuela;2014;16054,49051
Venezuela;2015;
Venezuela;2016;
Venezuela;2017;
Venezuela;2018;
Venezuela;2019;
