Pais;year;Pob
Argentina;1990;32618651
Argentina;1991;33079000
Argentina;1992;33529326
Argentina;1993;33970111
Argentina;1994;34402672
Argentina;1995;34828170
Argentina;1996;35246374
Argentina;1997;35657429
Argentina;1998;36063459
Argentina;1999;36467218
Argentina;2000;36870787
Argentina;2001;37275652
Argentina;2002;37681749
Argentina;2003;38087868
Argentina;2004;38491972
Argentina;2005;38892931
Argentina;2006;39289878
Argentina;2007;39684295
Argentina;2008;40080160
Argentina;2009;40482788
Argentina;2010;40788453
Argentina;2011;41261490
Argentina;2012;41733271
Argentina;2013;42202935
Argentina;2014;42669500
Argentina;2015;43131966
Argentina;2016;43590368
Argentina;2017;44044811
Argentina;2018;44494502
Argentina;2019;44938712
Bolivia;1990;6864842
Bolivia;1991;7011453
Bolivia;1992;7160920
Bolivia;1993;7312850
Bolivia;1994;7466793
Bolivia;1995;7622338
Bolivia;1996;7779267
Bolivia;1997;7937458
Bolivia;1998;8096761
Bolivia;1999;8257066
Bolivia;2000;8418264
Bolivia;2001;8580235
Bolivia;2002;8742814
Bolivia;2003;8905823
Bolivia;2004;9069039
Bolivia;2005;9232306
Bolivia;2006;9395446
Bolivia;2007;9558439
Bolivia;2008;9721454
Bolivia;2009;9884781
Bolivia;2010;10048590
Bolivia;2011;10212954
Bolivia;2012;10377676
Bolivia;2013;10542376
Bolivia;2014;10706517
Bolivia;2015;10869730
Bolivia;2016;11031813
Bolivia;2017;11192854
Bolivia;2018;11353142
Bolivia;2019;11513100
Brasil;1990;149003223
Brasil;1991;151648011
Brasil;1992;154259380
Brasil;1993;156849078
Brasil;1994;159432716
Brasil;1995;162019896
Brasil;1996;164614688
Brasil;1997;167209040
Brasil;1998;169785250
Brasil;1999;172318675
Brasil;2000;174790340
Brasil;2001;177196054
Brasil;2002;179537520
Brasil;2003;181809246
Brasil;2004;184006481
Brasil;2005;186127103
Brasil;2006;188167356
Brasil;2007;190130443
Brasil;2008;192030362
Brasil;2009;193886508
Brasil;2010;195713635
Brasil;2011;197514534
Brasil;2012;199287296
Brasil;2013;201035903
Brasil;2014;202763735
Brasil;2015;204471769
Brasil;2016;206163058
Brasil;2017;207833831
Brasil;2018;209469333
Brasil;2019;211049527
Chile;1990;13274623
Chile;1991;13495258
Chile;1992;13719819
Chile;1993;13944937
Chile;1994;14166340
Chile;1995;14380866
Chile;1996;14587370
Chile;1997;14786220
Chile;1998;14977733
Chile;1999;15162800
Chile;2000;15342353
Chile;2001;15516113
Chile;2002;15684409
Chile;2003;15849652
Chile;2004;16014971
Chile;2005;16182721
Chile;2006;16354504
Chile;2007;16530195
Chile;2008;16708258
Chile;2009;16886186
Chile;2010;17062536
Chile;2011;17233576
Chile;2012;17400347
Chile;2013;17571507
Chile;2014;17758959
Chile;2015;17969353
Chile;2016;18209068
Chile;2017;18470439
Chile;2018;18729160
Chile;2019;18952038
Colombia;1990;33102575
Colombia;1991;33758337
Colombia;1992;34422569
Colombia;1993;35091275
Colombia;1994;35758979
Colombia;1995;36421438
Colombia;1996;37076387
Colombia;1997;37723800
Colombia;1998;38364309
Colombia;1999;38999471
Colombia;2000;39629968
Colombia;2001;40255967
Colombia;2002;40875360
Colombia;2003;41483869
Colombia;2004;42075955
Colombia;2005;42647723
Colombia;2006;43200897
Colombia;2007;43737516
Colombia;2008;44254975
Colombia;2009;44750054
Colombia;2010;45222700
Colombia;2011;45663099
Colombia;2012;46076848
Colombia;2013;46497267
Colombia;2014;46969209
Colombia;2015;47520667
Colombia;2016;48171392
Colombia;2017;48901066
Colombia;2018;49648685
Colombia;2019;50339443
Ecuador;1990;10230934
Ecuador;1991;10472475
Ecuador;1992;10716129
Ecuador;1993;10961466
Ecuador;1994;11208001
Ecuador;1995;11455204
Ecuador;1996;11703174
Ecuador;1997;11951452
Ecuador;1998;12198449
Ecuador;1999;12442115
Ecuador;2000;12681123
Ecuador;2001;12914667
Ecuador;2002;13143465
Ecuador;2003;13369678
Ecuador;2004;13596388
Ecuador;2005;13825847
Ecuador;2006;14059384
Ecuador;2007;14296557
Ecuador;2008;14535739
Ecuador;2009;14774424
Ecuador;2010;15011117
Ecuador;2011;15243883
Ecuador;2012;15474102
Ecuador;2013;15707474
Ecuador;2014;15951838
Ecuador;2015;16212020
Ecuador;2016;16491115
Ecuador;2017;16785361
Ecuador;2018;17084357
Ecuador;2019;17373662
Guyana;1990;743309
Guyana;1991;744474
Guyana;1992;748602
Guyana;1993;754144
Guyana;1994;758896
Guyana;1995;761291
Guyana;1996;760795
Guyana;1997;757970
Guyana;1998;753778
Guyana;1999;749674
Guyana;2000;746715
Guyana;2001;745206
Guyana;2002;744789
Guyana;2003;745143
Guyana;2004;745737
Guyana;2005;746163
Guyana;2006;746343
Guyana;2007;746474
Guyana;2008;746817
Guyana;2009;747718
Guyana;2010;749436
Guyana;2011;752028
Guyana;2012;755399
Guyana;2013;759285
Guyana;2014;763380
Guyana;2015;767432
Guyana;2016;771366
Guyana;2017;775221
Guyana;2018;779004
Guyana;2019;782766
Paraguay;1990;4223415
Paraguay;1991;4334345
Paraguay;1992;4445016
Paraguay;1993;4555521
Paraguay;1994;4666094
Paraguay;1995;4776843
Paraguay;1996;4887632
Paraguay;1997;4998100
Paraguay;1998;5107839
Paraguay;1999;5216349
Paraguay;2000;5323201
Paraguay;2001;5428444
Paraguay;2002;5531962
Paraguay;2003;5632983
Paraguay;2004;5730549
Paraguay;2005;5824096
Paraguay;2006;5913209
Paraguay;2007;5998427
Paraguay;2008;6081296
Paraguay;2009;6163972
Paraguay;2010;6248020
Paraguay;2011;6333976
Paraguay;2012;6421512
Paraguay;2013;6510276
Paraguay;2014;6599526
Paraguay;2015;6688746
Paraguay;2016;6777872
Paraguay;2017;6867062
Paraguay;2018;6956071
Paraguay;2019;7044636
Peru;1990;22071433
Peru;1991;22522378
Peru;1992;22966818
Peru;1993;23408131
Peru;1994;23851408
Peru;1995;24299160
Peru;1996;24753824
Peru;1997;25210954
Peru;1998;25658062
Peru;1999;26078293
Peru;2000;26459944
Peru;2001;26799285
Peru;2002;27100968
Peru;2003;27372226
Peru;2004;27624213
Peru;2005;27866145
Peru;2006;28102056
Peru;2007;28333052
Peru;2008;28562317
Peru;2009;28792655
Peru;2010;29027674
Peru;2011;29264318
Peru;2012;29506788
Peru;2013;29773987
Peru;2014;30090359
Peru;2015;30470734
Peru;2016;30926032
Peru;2017;31444297
Peru;2018;31989256
Peru;2019;32510453
Suriname;1990;405168
Suriname;1991;413005
Suriname;1992;420655
Suriname;1993;428030
Suriname;1994;435105
Suriname;1995;441851
Suriname;1996;448213
Suriname;1997;454161
Suriname;1998;459831
Suriname;1999;465385
Suriname;2000;470949
Suriname;2001;476579
Suriname;2002;482235
Suriname;2003;487942
Suriname;2004;493679
Suriname;2005;499464
Suriname;2006;505295
Suriname;2007;511181
Suriname;2008;517123
Suriname;2009;523111
Suriname;2010;529131
Suriname;2011;535179
Suriname;2012;541245
Suriname;2013;547291
Suriname;2014;553273
Suriname;2015;559143
Suriname;2016;564888
Suriname;2017;570496
Suriname;2018;575991
Suriname;2019;581372
Trinidad y Tobago;1990;1221116
Trinidad y Tobago;1991;1229103
Trinidad y Tobago;1992;1236683
Trinidad y Tobago;1993;1243616
Trinidad y Tobago;1994;1249520
Trinidad y Tobago;1995;1254200
Trinidad y Tobago;1996;1257549
Trinidad y Tobago;1997;1259848
Trinidad y Tobago;1998;1261695
Trinidad y Tobago;1999;1263933
Trinidad y Tobago;2000;1267153
Trinidad y Tobago;2001;1271632
Trinidad y Tobago;2002;1277213
Trinidad y Tobago;2003;1283559
Trinidad y Tobago;2004;1290123
Trinidad y Tobago;2005;1296502
Trinidad y Tobago;2006;1302561
Trinidad y Tobago;2007;1308451
Trinidad y Tobago;2008;1314443
Trinidad y Tobago;2009;1320930
Trinidad y Tobago;2010;1328147
Trinidad y Tobago;2011;1336178
Trinidad y Tobago;2012;1344817
Trinidad y Tobago;2013;1353700
Trinidad y Tobago;2014;1362342
Trinidad y Tobago;2015;1370328
Trinidad y Tobago;2016;1377564
Trinidad y Tobago;2017;1384072
Trinidad y Tobago;2018;1389858
Trinidad y Tobago;2019;1394973
Uruguay;1990;3109601
Uruguay;1991;3131660
Uruguay;1992;3154464
Uruguay;1993;3177745
Uruguay;1994;3201151
Uruguay;1995;3224281
Uruguay;1996;3247381
Uruguay;1997;3270164
Uruguay;1998;3291053
Uruguay;1999;3308012
Uruguay;2000;3319736
Uruguay;2001;3325473
Uruguay;2002;3326040
Uruguay;2003;3323668
Uruguay;2004;3321476
Uruguay;2005;3321803
Uruguay;2006;3325401
Uruguay;2007;3331749
Uruguay;2008;3340221
Uruguay;2009;3349676
Uruguay;2010;3359275
Uruguay;2011;3368934
Uruguay;2012;3378974
Uruguay;2013;3389439
Uruguay;2014;3400434
Uruguay;2015;3412009
Uruguay;2016;3424132
Uruguay;2017;3436646
Uruguay;2018;3449299
Uruguay;2019;3461734
Venezuela;1990;19632665
Venezuela;1991;20096317
Venezuela;1992;20557683
Venezuela;1993;21016901
Venezuela;1994;21474549
Venezuela;1995;21931084
Venezuela;1996;22385650
Venezuela;1997;22837743
Venezuela;1998;23288564
Venezuela;1999;23739841
Venezuela;2000;24192446
Venezuela;2001;24646472
Venezuela;2002;25100408
Venezuela;2003;25551624
Venezuela;2004;25996594
Venezuela;2005;26432447
Venezuela;2006;26850194
Venezuela;2007;27247610
Venezuela;2008;27635832
Venezuela;2009;28031009
Venezuela;2010;28439940
Venezuela;2011;28888369
Venezuela;2012;29362449
Venezuela;2013;29783571
Venezuela;2014;30045134
Venezuela;2015;30081829
Venezuela;2016;29846179
Venezuela;2017;29390409
Venezuela;2018;28870195
Venezuela;2019;28515829
