"","country_or_area","commodity_transaction","year","unit","quantity","quantity_footnotes","category"
"1","Argentina","Falling water - total hydraulic resources",2008,"Kilowatt-hours, million",354000,NA,"falling_water"
"2","Argentina","Falling water - total hydraulic resources",2005,"Kilowatt-hours, million",354000,NA,"falling_water"
"3","Argentina","Falling water - total hydraulic resources",1997,"Kilowatt-hours, million",535000,NA,"falling_water"
"4","Argentina","Falling water - total hydraulic resources",1995,"Kilowatt-hours, million",535000,NA,"falling_water"
"5","Argentina","Falling water - total hydraulic resources",1993,"Kilowatt-hours, million",535000,NA,"falling_water"
"6","Argentina","Falling water - total hydraulic resources",1990,"Kilowatt-hours, million",535000,NA,"falling_water"
"7","Bolivia (Plur. State of)","Falling water - total hydraulic resources",2008,"Kilowatt-hours, million",178000,NA,"falling_water"
"8","Bolivia (Plur. State of)","Falling water - total hydraulic resources",2005,"Kilowatt-hours, million",178000,NA,"falling_water"
"9","Bolivia (Plur. State of)","Falling water - total hydraulic resources",1997,"Kilowatt-hours, million",178000,NA,"falling_water"
"10","Bolivia (Plur. State of)","Falling water - total hydraulic resources",1995,"Kilowatt-hours, million",126270,NA,"falling_water"
"11","Bolivia (Plur. State of)","Falling water - total hydraulic resources",1993,"Kilowatt-hours, million",126270,NA,"falling_water"
"12","Brazil","Falling water - total hydraulic resources",2008,"Kilowatt-hours, million",3040000,NA,"falling_water"
"13","Brazil","Falling water - total hydraulic resources",2005,"Kilowatt-hours, million",3040000,NA,"falling_water"
"14","Brazil","Falling water - total hydraulic resources",1997,"Kilowatt-hours, million",3020000,NA,"falling_water"
"15","Brazil","Falling water - total hydraulic resources",1995,"Kilowatt-hours, million",3020400,NA,"falling_water"
"16","Brazil","Falling water - total hydraulic resources",1993,"Kilowatt-hours, million",3020400,NA,"falling_water"
"17","Brazil","Falling water - total hydraulic resources",1990,"Kilowatt-hours, million",3020400,NA,"falling_water"
"18","Chile","Falling water - total hydraulic resources",2008,"Kilowatt-hours, million",227000,NA,"falling_water"
"19","Chile","Falling water - total hydraulic resources",2005,"Kilowatt-hours, million",227000,NA,"falling_water"
"20","Chile","Falling water - total hydraulic resources",1997,"Kilowatt-hours, million",227000,NA,"falling_water"
"21","Chile","Falling water - total hydraulic resources",1993,"Kilowatt-hours, million",181495,NA,"falling_water"
"22","Chile","Falling water - total hydraulic resources",1990,"Kilowatt-hours, million",181445,NA,"falling_water"
"23","Colombia","Falling water - total hydraulic resources",2008,"Kilowatt-hours, million",1e+06,NA,"falling_water"
"24","Colombia","Falling water - total hydraulic resources",2005,"Kilowatt-hours, million",1e+06,NA,"falling_water"
"25","Colombia","Falling water - total hydraulic resources",1997,"Kilowatt-hours, million",1e+06,NA,"falling_water"
"26","Colombia","Falling water - total hydraulic resources",1995,"Kilowatt-hours, million",1290000,NA,"falling_water"
"27","Colombia","Falling water - total hydraulic resources",1993,"Kilowatt-hours, million",1290000,NA,"falling_water"
"28","Colombia","Falling water - total hydraulic resources",1990,"Kilowatt-hours, million",1290000,NA,"falling_water"
"29","Ecuador","Falling water - total hydraulic resources",2008,"Kilowatt-hours, million",169000,NA,"falling_water"
"30","Ecuador","Falling water - total hydraulic resources",2005,"Kilowatt-hours, million",167000,NA,"falling_water"
"31","Ecuador","Falling water - total hydraulic resources",1997,"Kilowatt-hours, million",115000,NA,"falling_water"
"32","Ecuador","Falling water - total hydraulic resources",1995,"Kilowatt-hours, million",818500,NA,"falling_water"
"33","Ecuador","Falling water - total hydraulic resources",1993,"Kilowatt-hours, million",818500,NA,"falling_water"
"34","Ecuador","Falling water - total hydraulic resources",1990,"Kilowatt-hours, million",818500,NA,"falling_water"
"35","Guyana","Falling water - total hydraulic resources",2008,"Kilowatt-hours, million",81000,NA,"falling_water"
"36","Guyana","Falling water - total hydraulic resources",2005,"Kilowatt-hours, million",64000,NA,"falling_water"
"37","Guyana","Falling water - total hydraulic resources",1997,"Kilowatt-hours, million",8000,NA,"falling_water"
"38","Guyana","Falling water - total hydraulic resources",1995,"Kilowatt-hours, million",67500,NA,"falling_water"
"39","Guyana","Falling water - total hydraulic resources",1993,"Kilowatt-hours, million",67500,NA,"falling_water"
"40","Guyana","Falling water - total hydraulic resources",1990,"Kilowatt-hours, million",67500,NA,"falling_water"
"41","Paraguay","Falling water - total hydraulic resources",2008,"Kilowatt-hours, million",111000,NA,"falling_water"
"42","Paraguay","Falling water - total hydraulic resources",2005,"Kilowatt-hours, million",130000,NA,"falling_water"
"43","Paraguay","Falling water - total hydraulic resources",1997,"Kilowatt-hours, million",111000,NA,"falling_water"
"44","Paraguay","Falling water - total hydraulic resources",1995,"Kilowatt-hours, million",50720,NA,"falling_water"
"45","Paraguay","Falling water - total hydraulic resources",1993,"Kilowatt-hours, million",50720,NA,"falling_water"
"46","Paraguay","Falling water - total hydraulic resources",1990,"Kilowatt-hours, million",50720,NA,"falling_water"
"47","Peru","Falling water - total hydraulic resources",2008,"Kilowatt-hours, million",1577000,NA,"falling_water"
"48","Peru","Falling water - total hydraulic resources",2005,"Kilowatt-hours, million",1577000,NA,"falling_water"
"49","Peru","Falling water - total hydraulic resources",1997,"Kilowatt-hours, million",1812000,NA,"falling_water"
"50","Peru","Falling water - total hydraulic resources",1995,"Kilowatt-hours, million",1839600,NA,"falling_water"
"51","Peru","Falling water - total hydraulic resources",1993,"Kilowatt-hours, million",1839600,NA,"falling_water"
